"40","","The Right HonourableDame Jacinda ArdernGNZMMP for Mount Albert(born 1980)","2017 (52nd)2020 (53rd)","26 October2017","25 January2023","5 years,91 days","Labour","Sixth Labourwith New Zealand First 2017–2020;C&S with Greens 2017–2020;Cooperation with Greens 2020–2023"
"41","","The Right HonourableChris HipkinsMP for Remutaka(born 1978)","– (53rd)","25 January2023","27 November2023","306 days","Labour","Sixth Labourwith New Zealand First 2017–2020;C&S with Greens 2017–2020;Cooperation with Greens 2020–2023"
"42","","The Right HonourableChristopher LuxonMP for Botany(born 1970)","2023 (54th)","27 November2023","Incumbent","71 days","National","Sixth Nationalwith ACT, New Zealand First 2023–present"
".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar a>span,.mw-parser-output .navbar a>abbr{text-decoration:inherit}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}v
t
e


Premiers and prime ministers of New Zealand (list)",".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar a>span,.mw-parser-output .navbar a>abbr{text-decoration:inherit}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}v
t
e


Premiers and prime ministers of New Zealand (list)",NA,NA,NA,NA,NA,NA,"Sixth Nationalwith ACT, New Zealand First 2023–present"
"Sewell
Fox
Stafford
Domett
Whitaker
Weld
Waterhouse
Vogel
Pollen
Atkinson
Grey
Hall
Stout
Ballance
Seddon
Hall-Jones
Ward
Mackenzie
Massey
Bell
Coates
Forbes
Savage
Fraser
Holland
Holyoake
Nash
Marshall
Kirk
Watt (acting)
Rowling
Muldoon
Lange
Palmer
Moore
Bolger
Shipley
Clark
Key
English
Ardern
Hipkins
Luxon","Sewell
Fox
Stafford
Domett
Whitaker
Weld
Waterhouse
Vogel
Pollen
Atkinson
Grey
Hall
Stout
Ballance
Seddon
Hall-Jones
Ward
Mackenzie
Massey
Bell
Coates
Forbes
Savage
Fraser
Holland
Holyoake
Nash
Marshall
Kirk
Watt (acting)
Rowling
Muldoon
Lange
Palmer
Moore
Bolger
Shipley
Clark
Key
English
Ardern
Hipkins
Luxon",NA,NA,NA,NA,NA,NA,NA
"Category","Category",NA,NA,NA,NA,NA,NA,NA
"v
t
e

Lists of prime ministers of New Zealand","v
t
e

Lists of prime ministers of New Zealand","v
t
e

Lists of prime ministers of New Zealand",NA,NA,NA,NA,NA,NA
"By order","Age
Order of service
Place of birth
Place of burial","",NA,NA,NA,NA,NA,NA
"Other","Electorates
Spouses
Education","",NA,NA,NA,NA,NA,NA
"v
t
e

People from New Zealand","v
t
e

People from New Zealand","v
t
e

People from New Zealand",NA,NA,NA,NA,NA,NA
"Political and Military figures","Governors-general
Prime ministers

World War I/World War II aces","",NA,NA,NA,NA,NA,NA
"Artists and writers","Actors
Architects
Composers

Film directors/film makers

Musicians
Poets

Radio/television personalities","",NA,NA,NA,NA,NA,NA
"Scientists, explorers, and inventors","Hector Medal
Rutherford medal","",NA,NA,NA,NA,NA,NA
"Sportspeople","Māori sportspeople
Olympic medallists
Olympic rowers","",NA,NA,NA,NA,NA,NA
"Others","Business people

Religious leaders
Catholic bishops","",NA,NA,NA,NA,NA,NA
